iter	Passed	Remaining
0	60	60774
1	61	30899
2	62	20884
3	64	16150
4	65	13108
5	66	11072
6	68	9683
7	69	8562
8	69	7686
9	70	6988
10	71	6416
11	72	5936
12	72	5532
13	73	5185
14	74	4882
15	75	4618
16	75	4384
17	76	4176
18	76	3974
19	77	3807
20	78	3670
21	79	3552
22	80	3435
23	81	3327
24	82	3235
25	83	3133
26	84	3040
27	85	2958
28	85	2878
29	86	2802
30	87	2731
31	88	2665
32	88	2607
33	90	2570
34	90	2508
35	91	2453
36	92	2407
37	93	2367
38	98	2430
39	100	2411
40	101	2375
41	102	2332
42	103	2307
43	104	2272
44	105	2236
45	106	2200
46	106	2166
47	107	2128
48	108	2097
49	109	2072
50	111	2069
51	112	2044
52	113	2027
53	114	2007
54	115	1984
55	117	1978
56	118	1954
57	118	1930
58	119	1907
59	120	1884
60	120	1862
61	121	1840
62	122	1815
63	123	1804
64	124	1784
65	126	1785
66	127	1771
67	128	1755
68	128	1739
69	129	1725
70	131	1717
71	131	1700
72	132	1684
73	133	1668
74	134	1656
75	135	1641
76	135	1627
77	137	1621
78	137	1605
79	138	1595
80	139	1581
81	140	1572
82	141	1564
83	143	1564
84	144	1555
85	145	1544
86	145	1531
87	146	1519
88	147	1507
89	147	1495
90	148	1483
91	149	1473
92	150	1470
93	151	1459
94	152	1448
95	152	1438
96	153	1429
97	154	1420
98	155	1415
99	158	1424
100	159	1417
101	160	1412
102	161	1402
103	161	1394
104	162	1385
105	163	1378
106	164	1371
107	165	1363
108	165	1355
109	166	1346
110	167	1338
111	167	1329
112	168	1322
113	169	1316
114	172	1329
115	174	1327
116	175	1322
117	175	1315
118	176	1309
119	178	1306
120	178	1298
121	179	1290
122	180	1283
123	180	1276
124	181	1269
125	181	1262
126	182	1255
127	183	1250
128	185	1253
129	186	1248
130	187	1243
131	188	1238
132	189	1235
133	190	1228
134	191	1227
135	192	1221
136	192	1215
137	193	1209
138	194	1202
139	194	1196
140	195	1191
141	196	1185
142	196	1180
143	198	1179
144	199	1174
145	200	1170
146	201	1168
147	202	1164
148	203	1160
149	204	1156
150	205	1153
151	205	1148
152	206	1143
153	207	1138
154	207	1132
155	208	1128
156	209	1123
157	209	1117
158	210	1113
159	211	1112
160	212	1107
161	213	1102
162	214	1099
163	215	1096
164	216	1093
165	216	1089
166	219	1094
167	220	1090
168	220	1086
169	221	1082
170	222	1077
171	222	1072
172	223	1068
173	224	1064
174	225	1063
175	226	1058
176	226	1054
177	227	1050
178	228	1045
179	229	1043
180	236	1069
181	237	1068
182	238	1064
183	239	1063
184	240	1059
185	241	1056
186	241	1051
187	242	1047
188	243	1043
189	243	1039
190	244	1036
191	248	1044
192	249	1044
193	250	1041
194	251	1037
195	252	1034
196	253	1033
197	254	1029
198	254	1026
199	255	1022
200	256	1018
201	256	1015
202	257	1011
203	258	1007
204	258	1004
205	259	1000
206	260	998
207	261	995
208	262	992
209	263	991
210	264	988
211	265	987
212	266	983
213	267	982
214	268	979
215	269	976
216	270	975
217	270	971
218	271	968
219	272	964
220	272	961
221	273	958
222	274	954
223	274	951
224	275	949
225	277	949
226	278	947
227	279	945
228	279	942
229	280	939
230	281	936
231	282	933
232	282	930
233	283	927
234	283	924
235	284	921
236	285	918
237	285	915
238	286	912
239	287	909
240	287	906
241	288	903
242	289	901
243	290	899
244	290	896
245	291	894
246	292	892
247	293	890
248	295	890
249	295	887
250	296	884
251	297	882
252	297	879
253	298	876
254	299	874
255	300	872
256	300	870
257	301	868
258	303	867
259	304	865
260	305	865
261	307	866
262	308	864
263	309	862
264	310	860
265	310	857
266	311	854
267	311	852
268	312	849
269	313	846
270	313	844
271	314	841
272	315	839
273	315	836
274	316	834
275	317	831
276	317	829
277	318	826
278	318	824
279	319	822
280	320	820
281	321	817
282	322	817
283	325	820
284	326	818
285	326	816
286	327	813
287	328	811
288	328	808
289	329	806
290	330	804
291	330	801
292	331	799
293	331	796
294	332	794
295	333	792
296	333	790
297	334	787
298	335	785
299	336	786
300	337	784
301	338	782
302	339	781
303	340	779
304	341	777
305	341	775
306	342	773
307	343	771
308	343	769
309	344	766
310	345	764
311	345	762
312	346	760
313	347	758
314	347	756
315	348	754
316	349	752
317	349	750
318	350	748
319	352	748
320	353	747
321	354	745
322	354	743
323	355	741
324	356	739
325	356	737
326	357	735
327	358	733
328	358	731
329	359	729
330	360	727
331	360	725
332	361	723
333	362	721
334	362	719
335	363	717
336	364	716
337	364	714
338	365	713
339	366	711
340	367	710
341	368	708
342	369	707
343	370	706
344	371	704
345	371	702
346	372	701
347	373	699
348	373	697
349	374	696
350	375	694
351	376	692
352	376	690
353	377	689
354	378	687
355	378	685
356	379	683
357	380	682
358	444	793
359	445	791
360	458	812
361	460	812
362	474	832
363	475	830
364	502	874
365	505	875
366	506	873
367	507	871
368	508	869
369	509	866
370	509	864
371	510	862
372	517	869
373	518	867
374	523	871
375	526	874
376	530	876
377	531	874
378	532	873
379	541	883
380	550	893
381	550	891
382	551	888
383	552	886
384	553	883
385	553	881
386	554	878
387	555	875
388	556	873
389	557	871
390	557	868
391	558	866
392	560	864
393	561	863
394	563	863
395	564	861
396	565	858
397	566	857
398	567	854
399	568	852
400	568	849
401	569	847
402	570	844
403	571	842
404	572	840
405	572	838
406	576	839
407	577	838
408	578	836
409	579	833
410	580	831
411	580	828
412	581	826
413	582	824
414	583	822
415	584	819
416	584	817
417	585	815
418	586	813
419	587	811
420	588	809
421	589	807
422	590	805
423	592	804
424	593	802
425	593	799
426	594	797
427	595	795
428	595	793
429	596	790
430	597	788
431	597	786
432	598	783
433	599	781
434	599	779
435	600	776
436	601	774
437	601	772
438	602	770
439	604	769
440	605	767
441	607	766
442	607	764
443	608	761
444	609	759
445	609	757
446	610	755
447	611	753
448	611	750
449	612	748
450	613	746
451	613	744
452	614	741
453	615	739
454	615	737
455	616	735
456	617	734
457	621	735
458	622	734
459	623	731
460	624	729
461	624	727
462	625	725
463	626	723
464	626	721
465	627	719
466	628	716
467	628	714
468	629	712
469	630	710
470	630	708
471	631	706
472	632	704
473	633	703
474	634	701
475	635	699
